"","FIPS","Employee_Capacity","Total_Employees_March_Snapshot","Total_Annual_Payroll","Year","Employee_Capacity_Change","Total_Employees_March_Snapshot_Change","Total_Annual_Payroll_Change"
"98","4007",78081,49213,1708160,2009,NA,NA,NA
"99","4009",70125,25605,710628,2009,NA,NA,NA
"100","4011",3507,1448,41239,2009,NA,NA,NA
"101","4012",22392,12443,311295,2009,NA,NA,NA
"102","4013",9857518,8362755,348441520,2009,NA,NA,NA
"103","4015",290308,216376,6043701,2009,NA,NA,NA
"104","4017",128177,83410,2535073,2009,NA,NA,NA
"105","4019",2076133,1711353,58225892,2009,NA,NA,NA
"106","4021",298898,194480,5551182,2009,NA,NA,NA
"107","4023",76386,48485,1306990,2009,NA,NA,NA
"108","4025",372186,273567,8096324,2009,NA,NA,NA
"109","4027",292969,198996,5237420,2009,NA,NA,NA
"110","5001",53421,24663,853677,2009,NA,NA,NA
"111","5003",41052,19848,661787,2009,NA,NA,NA
"112","5005",75297,45813,1293177,2009,NA,NA,NA
"113","5007",619737,362211,13635109,2009,NA,NA,NA
"114","5009",80910,43605,1226295,2009,NA,NA,NA
"115","5011",17709,8802,246074,2009,NA,NA,NA
"116","5013",4002,1126,35284,2009,NA,NA,NA
"117","5015",56924,22507,636477,2009,NA,NA,NA
"118","5017",15234,7652,195163,2009,NA,NA,NA
"119","5019",48636,25799,677921,2009,NA,NA,NA
"120","5021",23331,10561,269004,2009,NA,NA,NA
"121","5023",39268,22616,562118,2009,NA,NA,NA
"122","5025",3120,1407,43193,2009,NA,NA,NA
"123","5027",50358,26951,815730,2009,NA,NA,NA
"124","5029",34447,15721,451440,2009,NA,NA,NA
"125","5031",249291,162253,4759258,2009,NA,NA,NA
"126","5033",145925,82391,2261548,2009,NA,NA,NA
"127","5035",90978,48682,1361904,2009,NA,NA,NA
"128","5037",29225,13644,381091,2009,NA,NA,NA
"129","5039",19497,7535,232446,2009,NA,NA,NA
"130","5041",25749,10263,309878,2009,NA,NA,NA
"131","5043",32028,16112,409889,2009,NA,NA,NA
"132","5045",215129,138402,4414824,2009,NA,NA,NA
"133","5047",22469,9928,285941,2009,NA,NA,NA
"134","5049",9499,4425,103432,2009,NA,NA,NA
"135","5051",215012,155806,4270373,2009,NA,NA,NA
"136","5053",20579,8278,241081,2009,NA,NA,NA
"137","5055",85066,40462,1079019,2009,NA,NA,NA
"138","5057",46391,21717,585266,2009,NA,NA,NA
"139","5059",40391,21316,594233,2009,NA,NA,NA
"140","5061",39024,16129,385208,2009,NA,NA,NA
"141","5063",97451,49697,1428095,2009,NA,NA,NA
"142","5065",13476,7083,170405,2009,NA,NA,NA
"143","5067",24386,10403,357365,2009,NA,NA,NA
"144","5069",164665,91817,2758340,2009,NA,NA,NA
"145","5071",49413,19777,468745,2009,NA,NA,NA
"146","5073",5658,2307,52703,2009,NA,NA,NA
"147","5075",19293,8749,233486,2009,NA,NA,NA
"148","5077",6021,2379,74989,2009,NA,NA,NA
"149","5079",10524,3750,94029,2009,NA,NA,NA
"150","5081",19875,5977,221099,2009,NA,NA,NA
"151","5083",28697,9980,285274,2009,NA,NA,NA
"152","5085",71136,43835,1130299,2009,NA,NA,NA
"153","5087",13095,5050,126085,2009,NA,NA,NA
"154","5089",17463,7461,176906,2009,NA,NA,NA
"155","5091",71637,35065,944718,2009,NA,NA,NA
"156","5093",99048,52403,1612287,2009,NA,NA,NA
"157","5095",11211,5983,136763,2009,NA,NA,NA
"158","5097",6927,2248,62344,2009,NA,NA,NA
"159","5099",13686,3902,105316,2009,NA,NA,NA
"160","5101",3933,1548,27082,2009,NA,NA,NA
"161","5103",55502,26434,787063,2009,NA,NA,NA
"162","5105",6255,1665,47463,2009,NA,NA,NA
"163","5107",30251,16573,419538,2009,NA,NA,NA
"164","5109",12834,6241,155454,2009,NA,NA,NA
"165","5111",22764,13461,353560,2009,NA,NA,NA
"166","5113",35120,17483,428416,2009,NA,NA,NA
"167","5115",150846,89424,2563323,2009,NA,NA,NA
"168","5117",7101,3088,70738,2009,NA,NA,NA
"169","5119",1401996,1152706,46885319,2009,NA,NA,NA
"170","5121",22734,10677,264801,2009,NA,NA,NA
"171","5123",39360,20717,516234,2009,NA,NA,NA
"172","5125",123674,82574,2319334,2009,NA,NA,NA
"173","5127",13827,4276,121653,2009,NA,NA,NA
"174","5129",6720,2531,59980,2009,NA,NA,NA
"175","5131",436805,321893,10956875,2009,NA,NA,NA
"176","5133",34666,11159,297758,2009,NA,NA,NA
"177","5135",17894,8621,219604,2009,NA,NA,NA
"178","5137",15768,6365,151471,2009,NA,NA,NA
"179","5139",122433,70158,2996547,2009,NA,NA,NA
"180","5141",22789,9515,256802,2009,NA,NA,NA
"181","5143",529637,385477,13282741,2009,NA,NA,NA
"182","5145",151454,85378,2705242,2009,NA,NA,NA
"183","5147",8631,3117,88835,2009,NA,NA,NA
"184","5149",27384,12240,298710,2009,NA,NA,NA
"185","6001",3959502,3333467,179758423,2009,NA,NA,NA
"186","6003",6222,838,16053,2009,NA,NA,NA
"187","6005",54898,26637,823372,2009,NA,NA,NA
"188","6007",377492,271758,8292634,2009,NA,NA,NA
"189","6009",41396,25110,746478,2009,NA,NA,NA
"190","6011",27232,16495,529238,2009,NA,NA,NA
"191","6013",2070889,1686052,91820701,2009,NA,NA,NA
"192","6015",29455,16258,413700,2009,NA,NA,NA
"193","6017",297595,199955,7234531,2009,NA,NA,NA
"194","6019",1574937,1289383,45674899,2009,NA,NA,NA
"195","6021",31229,15876,534543,2009,NA,NA,NA
"196","6023",230451,171157,4876536,2009,NA,NA,NA
"197","6025",212519,151877,4178680,2009,NA,NA,NA
"198","6027",35777,19895,563675,2009,NA,NA,NA
"199","6029",1211113,979785,37991597,2009,NA,NA,NA
"200","6031",154731,98610,3211851,2009,NA,NA,NA
"201","6033",63679,40143,1177626,2009,NA,NA,NA
"202","6035",24464,13712,388253,2009,NA,NA,NA
"203","6037",24863628,21820255,1042875118,2009,NA,NA,NA
"204","6039",168646,102181,3413147,2009,NA,NA,NA
"205","6041",656944,505660,25397646,2009,NA,NA,NA
"206","6043",22066,8197,230398,2009,NA,NA,NA
"207","6045",155693,109261,3325745,2009,NA,NA,NA
"208","6047",270945,184784,5927833,2009,NA,NA,NA
"209","6049",8954,3795,102613,2009,NA,NA,NA
"210","6051",42417,29422,726635,2009,NA,NA,NA
"211","6053",676290,556980,22214096,2009,NA,NA,NA
"212","6055",369642,268010,11766381,2009,NA,NA,NA
"213","6057",191697,136325,4673562,2009,NA,NA,NA
"214","6059",9053947,7756571,363589828,2009,NA,NA,NA
"215","6061",858319,637616,25681253,2009,NA,NA,NA
"216","6063",28407,14486,525513,2009,NA,NA,NA
"217","6065",3280804,2772922,92216069,2009,NA,NA,NA
"218","6067",2861321,2389818,101088493,2009,NA,NA,NA
"219","6069",73673,41282,1311198,2009,NA,NA,NA
"220","6071",3517910,2931103,100766067,2009,NA,NA,NA
"221","6073",7610407,6513688,292364845,2009,NA,NA,NA
"222","6075",3296400,2818895,200282731,2009,NA,NA,NA
"223","6077",1129855,925452,33664993,2009,NA,NA,NA
"224","6079",576948,420926,14021795,2009,NA,NA,NA
"225","6081",2161366,1747877,120361793,2009,NA,NA,NA
"226","6083",930569,773717,32340727,2009,NA,NA,NA
"227","6085",5531724,4816994,362913458,2009,NA,NA,NA
"228","6087",489514,375416,14324489,2009,NA,NA,NA
"229","6089",324973,244696,7933195,2009,NA,NA,NA
"230","6091",2442,423,23800,2009,NA,NA,NA
"231","6093",61393,35759,1043254,2009,NA,NA,NA
"232","6095",680672,502370,19730009,2009,NA,NA,NA
"233","6097",1027016,819390,34072040,2009,NA,NA,NA
"234","6099",859655,684964,25434210,2009,NA,NA,NA
"235","6101",137871,92219,3060515,2009,NA,NA,NA
"236","6103",79019,39926,1168037,2009,NA,NA,NA
"237","6105",12033,4929,142927,2009,NA,NA,NA
"238","6107",598633,472924,15238975,2009,NA,NA,NA
"239","6109",91105,53821,1699623,2009,NA,NA,NA
"240","6111",1697683,1353668,57583921,2009,NA,NA,NA
"241","6113",416759,289128,11633457,2009,NA,NA,NA
"242","6115",64224,34537,1078526,2009,NA,NA,NA
"243","8001",920194,703589,28186600,2009,NA,NA,NA
"244","8003",34707,19044,541999,2009,NA,NA,NA
"245","8005",1646005,1291999,66686828,2009,NA,NA,NA
"246","8007",21767,9318,272404,2009,NA,NA,NA
"247","8009",3797,822,28751,2009,NA,NA,NA
"248","8011",3801,1025,25974,2009,NA,NA,NA
"249","8013",923864,721003,34307218,2009,NA,NA,NA
"250","8014",201152,108586,5877039,2009,NA,NA,NA
"251","8015",36054,19169,580058,2009,NA,NA,NA
"252","8017",4440,1496,73712,2009,NA,NA,NA
"253","8019",19391,9268,224172,2009,NA,NA,NA
"254","8021",4145,1201,39530,2009,NA,NA,NA
"255","8023",1293,444,8054,2009,NA,NA,NA
"256","8025",4107,773,20049,2009,NA,NA,NA
"257","8027",4356,1720,52997,2009,NA,NA,NA
"258","8029",48231,24490,660541,2009,NA,NA,NA
"259","8031",2583833,2203566,113785747,2009,NA,NA,NA
"260","8033",1509,357,10897,2009,NA,NA,NA
"261","8035",573681,411928,17789809,2009,NA,NA,NA
"262","8037",222257,162196,5293746,2009,NA,NA,NA
"263","8039",15538,7331,267530,2009,NA,NA,NA
"264","8041",1462109,1138852,44529518,2009,NA,NA,NA
"265","8043",55308,32680,820317,2009,NA,NA,NA
"266","8045",150517,104491,4345985,2009,NA,NA,NA
"267","8047",29421,22533,894829,2009,NA,NA,NA
"268","8049",41492,23762,683439,2009,NA,NA,NA
"269","8051",50264,25901,659062,2009,NA,NA,NA
"270","8053",1830,432,16424,2009,NA,NA,NA
"271","8055",9795,3096,99069,2009,NA,NA,NA
"272","8057",2079,642,22315,2009,NA,NA,NA
"273","8059",1291334,961885,41518413,2009,NA,NA,NA
"274","8061",1500,259,8137,2009,NA,NA,NA
"275","8063",13310,6910,202225,2009,NA,NA,NA
"276","8065",9147,3393,99891,2009,NA,NA,NA
"277","8067",139670,91281,3046019,2009,NA,NA,NA
"278","8069",719055,552037,19730753,2009,NA,NA,NA
"279","8071",22769,11874,331892,2009,NA,NA,NA
"280","8073",8583,3476,90623,2009,NA,NA,NA
"281","8075",38726,22811,598711,2009,NA,NA,NA
"282","8077",368419,272341,9548105,2009,NA,NA,NA
"283","8079",1458,371,19075,2009,NA,NA,NA
"284","8081",27999,12480,476303,2009,NA,NA,NA
"285","8083",45396,27933,795425,2009,NA,NA,NA
"286","8085",80914,47449,1578228,2009,NA,NA,NA
"287","8087",57477,31843,1036122,2009,NA,NA,NA
"288","8089",31649,15022,374267,2009,NA,NA,NA
"289","8091",8501,3691,130335,2009,NA,NA,NA
"290","8093",11220,4197,138726,2009,NA,NA,NA
"291","8095",6594,1452,59851,2009,NA,NA,NA
"292","8097",114869,71435,2545729,2009,NA,NA,NA
"293","8099",19305,9095,279557,2009,NA,NA,NA
"294","8101",313803,211431,6378420,2009,NA,NA,NA
"295","8103",12915,6615,313768,2009,NA,NA,NA
"296","8105",18651,11746,339368,2009,NA,NA,NA
"297","8107",119231,71788,2322173,2009,NA,NA,NA
"298","8109",5175,2196,61102,2009,NA,NA,NA
"299","8111",1659,422,15881,2009,NA,NA,NA
"300","8113",34890,19993,606553,2009,NA,NA,NA
"301","8115",2799,845,22001,2009,NA,NA,NA
"302","8117",157207,79186,2247653,2009,NA,NA,NA
"303","8119",35897,22119,593873,2009,NA,NA,NA
"304","8121",3126,830,28255,2009,NA,NA,NA
"305","8123",455251,323326,12246615,2009,NA,NA,NA
"306","8125",20290,10266,356879,2009,NA,NA,NA
"307","9001",2720858,2257444,157989787,2009,NA,NA,NA
"308","9003",3007290,2438504,120719346,2009,NA,NA,NA
"309","9005",359850,281827,10500188,2009,NA,NA,NA
"310","9007",415089,273114,11331140,2009,NA,NA,NA
"311","9009",2109099,1791761,78574413,2009,NA,NA,NA
"312","9011",666519,425776,15854707,2009,NA,NA,NA
"313","9013",210500,141350,4792681,2009,NA,NA,NA
"314","9015",200583,134737,4733974,2009,NA,NA,NA
"315","10001",331355,214553,6884566,2009,NA,NA,NA
"316","10003",1764591,1457667,73007078,2009,NA,NA,NA
"317","10005",395669,301278,9319150,2009,NA,NA,NA
"318","11001",3112077,2704353,175331462,2009,NA,NA,NA
"319","12001",589032,446563,15156959,2009,NA,NA,NA
"320","12003",35985,15171,413735,2009,NA,NA,NA
"321","12005",368396,265346,8422646,2009,NA,NA,NA
"322","12007",30846,13379,349234,2009,NA,NA,NA
"323","12009",1140458,839090,32144739,2009,NA,NA,NA
"324","12011",4297317,3536005,141773316,2009,NA,NA,NA
"325","12013",11294,5283,136964,2009,NA,NA,NA
"326","12015",262565,155540,4599450,2009,NA,NA,NA
"327","12017",177055,105870,3335729,2009,NA,NA,NA
"328","12019",252064,174212,4884072,2009,NA,NA,NA
"329","12021",709128,531623,19035609,2009,NA,NA,NA
"330","12023",116409,73414,2334762,2009,NA,NA,NA
"331","12027",32919,13901,401703,2009,NA,NA,NA
"332","12029",9534,4498,113000,2009,NA,NA,NA
"333","12031",2776267,2238243,93732363,2009,NA,NA,NA
"334","12033",666928,511639,16829929,2009,NA,NA,NA
"335","12035",116660,64198,1743777,2009,NA,NA,NA
"336","12037",13686,7746,191140,2009,NA,NA,NA
"337","12039",60361,29528,875422,2009,NA,NA,NA
"338","12041",10800,4364,118975,2009,NA,NA,NA
"339","12043",5232,1373,41527,2009,NA,NA,NA
"340","12045",14280,6742,196850,2009,NA,NA,NA
"341","12047",17400,4429,172748,2009,NA,NA,NA
"342","12049",29636,14771,402974,2009,NA,NA,NA
"343","12051",39023,19624,523019,2009,NA,NA,NA
"344","12053",191216,125387,3443470,2009,NA,NA,NA
"345","12055",127567,89388,2479177,2009,NA,NA,NA
"346","12057",3330422,2755938,116247756,2009,NA,NA,NA
"347","12059",13578,6698,165167,2009,NA,NA,NA
"348","12061",267408,188925,6136227,2009,NA,NA,NA
"349","12063",60192,34944,925388,2009,NA,NA,NA
"350","12065",13080,4833,119693,2009,NA,NA,NA
"351","12067",5505,1380,33466,2009,NA,NA,NA
"352","12069",458202,334665,10277340,2009,NA,NA,NA
"353","12071",1181050,912543,30267158,2009,NA,NA,NA
"354","12073",627659,476818,17143194,2009,NA,NA,NA
"355","12075",38299,22369,589078,2009,NA,NA,NA
"356","12077",5631,1539,47682,2009,NA,NA,NA
"357","12079",18726,8976,217852,2009,NA,NA,NA
"358","12081",562879,393975,12981345,2009,NA,NA,NA
"359","12083",529548,376741,11507687,2009,NA,NA,NA
"360","12085",333336,244509,8109372,2009,NA,NA,NA
"361","12086",5626888,4631217,184931258,2009,NA,NA,NA
"362","12087",186317,134505,4018299,2009,NA,NA,NA
"363","12089",98611,61287,1820478,2009,NA,NA,NA
"364","12091",396254,305435,10403043,2009,NA,NA,NA
"365","12093",46811,26211,737010,2009,NA,NA,NA
"366","12095",3953329,3372972,130203247,2009,NA,NA,NA
"367","12097",414158,282862,8085769,2009,NA,NA,NA
"368","12099",3031677,2494636,102350955,2009,NA,NA,NA
"369","12101",544884,415112,12077914,2009,NA,NA,NA
"370","12103",2431749,1987096,75388061,2009,NA,NA,NA
"371","12105",1104301,870813,30143832,2009,NA,NA,NA
"372","12107",95569,55176,1507809,2009,NA,NA,NA
"373","12109",313831,213677,6973035,2009,NA,NA,NA
"374","12111",367419,251692,7466873,2009,NA,NA,NA
"375","12113",143759,92893,2852735,2009,NA,NA,NA
"376","12115",849314,658961,23601633,2009,NA,NA,NA
"377","12117",1027471,797741,29177125,2009,NA,NA,NA
"378","12119",101130,54640,1510241,2009,NA,NA,NA
"379","12121",56501,27825,698980,2009,NA,NA,NA
"380","12123",35131,14766,419473,2009,NA,NA,NA
"381","12125",11142,3003,85937,2009,NA,NA,NA
"382","12127",887508,691435,20568846,2009,NA,NA,NA
"383","12129",22286,9546,254073,2009,NA,NA,NA
"384","12131",105648,74199,2061789,2009,NA,NA,NA
"385","12133",23492,11417,288288,2009,NA,NA,NA
"386","13001",34574,15162,495748,2009,NA,NA,NA
"387","13003",8778,2901,71250,2009,NA,NA,NA
"388","13005",17346,6932,202205,2009,NA,NA,NA
"389","13007",1905,309,8922,2009,NA,NA,NA
"390","13009",86954,44740,1204832,2009,NA,NA,NA
"391","13011",23877,11324,232388,2009,NA,NA,NA
"392","13013",82205,45965,1428230,2009,NA,NA,NA
"393","13015",186029,115881,3518751,2009,NA,NA,NA
"394","13017",37422,17719,458653,2009,NA,NA,NA
"395","13019",23997,10476,276179,2009,NA,NA,NA
"396","13021",467728,340909,11108767,2009,NA,NA,NA
"397","13023",13967,5514,132257,2009,NA,NA,NA
"398","13025",8633,3757,83091,2009,NA,NA,NA
"399","13027",13800,5141,128195,2009,NA,NA,NA
"400","13029",40892,22099,521959,2009,NA,NA,NA
"401","13031",116984,74113,1868328,2009,NA,NA,NA
"402","13033",30769,12449,425880,2009,NA,NA,NA
"403","13035",28622,14183,373219,2009,NA,NA,NA
"404","13037",4554,1472,44929,2009,NA,NA,NA
"405","13039",60649,37354,944100,2009,NA,NA,NA
"406","13043",14934,7037,192265,2009,NA,NA,NA
"407","13045",201137,120953,3800150,2009,NA,NA,NA
"408","13047",90259,55424,1516940,2009,NA,NA,NA
"409","13049",11643,4156,108700,2009,NA,NA,NA
"410","13051",783061,581339,19485019,2009,NA,NA,NA
"411","13053",4269,1324,45693,2009,NA,NA,NA
"412","13055",29685,12910,339372,2009,NA,NA,NA
"413","13057",280291,190922,5620852,2009,NA,NA,NA
"414","13059",301901,197827,6025330,2009,NA,NA,NA
"415","13061",2664,142,2383,2009,NA,NA,NA
"416","13063",473904,356487,11334312,2009,NA,NA,NA
"417","13065",13101,3519,96833,2009,NA,NA,NA
"418","13067",2076400,1621169,76039896,2009,NA,NA,NA
"419","13069",81282,48427,1321006,2009,NA,NA,NA
"420","13071",77341,42600,1134634,2009,NA,NA,NA
"421","13073",183913,128746,3713922,2009,NA,NA,NA
"422","13075",23310,11050,276853,2009,NA,NA,NA
"423","13077",198391,130035,3834798,2009,NA,NA,NA
"424","13079",3618,1359,39990,2009,NA,NA,NA
"425","13081",44990,23762,610674,2009,NA,NA,NA
"426","13083",14628,6724,189373,2009,NA,NA,NA
"427","13085",37017,25145,581862,2009,NA,NA,NA
"428","13087",52421,27941,736224,2009,NA,NA,NA
"429","13089",1711740,1350836,56879825,2009,NA,NA,NA
"430","13091",27845,13629,322241,2009,NA,NA,NA
"431","13093",15750,6039,161792,2009,NA,NA,NA
"432","13095",272496,183771,5304344,2009,NA,NA,NA
"433","13097",235640,165770,4708620,2009,NA,NA,NA
"434","13099",20384,6898,206112,2009,NA,NA,NA
"435","13101",573,0,2536,2009,NA,NA,NA
"436","13103",47388,24148,673064,2009,NA,NA,NA
"437","13105",35367,20256,578328,2009,NA,NA,NA
"438","13107",35946,17567,469732,2009,NA,NA,NA
"439","13109",26558,7597,274094,2009,NA,NA,NA
"440","13111",31328,18082,469402,2009,NA,NA,NA
"441","13113",257305,173975,5862002,2009,NA,NA,NA
"442","13115",228381,140289,4367604,2009,NA,NA,NA
"443","13117",405083,278282,10719249,2009,NA,NA,NA
"444","13119",40659,18918,512539,2009,NA,NA,NA
"445","13121",4697728,4067070,230626482,2009,NA,NA,NA
"446","13123",45118,19258,516544,2009,NA,NA,NA
"447","13125",1329,205,4418,2009,NA,NA,NA
"448","13127",215498,148082,4287658,2009,NA,NA,NA
"449","13129",104818,77661,2269855,2009,NA,NA,NA
"450","13131",26085,13250,335957,2009,NA,NA,NA
"451","13133",30501,14048,402802,2009,NA,NA,NA
"452","13135",2030953,1648934,69370430,2009,NA,NA,NA
"453","13137",79041,35117,932359,2009,NA,NA,NA
"454","13139",397577,293954,9797642,2009,NA,NA,NA
"455","13141",4659,1162,24885,2009,NA,NA,NA
"456","13143",35568,19174,605838,2009,NA,NA,NA
"457","13145",22636,9531,238174,2009,NA,NA,NA
"458","13147",31689,14159,373591,2009,NA,NA,NA
"459","13149",6756,1684,57467,2009,NA,NA,NA
"460","13151",273742,190336,5615337,2009,NA,NA,NA
"461","13153",225489,153152,4454567,2009,NA,NA,NA
"462","13155",10467,2634,80306,2009,NA,NA,NA
"463","13157",101789,60935,1815953,2009,NA,NA,NA
"464","13159",10917,4107,101531,2009,NA,NA,NA
"465","13161",22974,11428,309827,2009,NA,NA,NA
"466","13163",27780,13439,375438,2009,NA,NA,NA
"467","13165",7467,2355,51223,2009,NA,NA,NA
"468","13167",8394,2825,77621,2009,NA,NA,NA
"469","13169",18351,8702,239689,2009,NA,NA,NA
"470","13171",18473,8193,189841,2009,NA,NA,NA
"471","13173",6659,1909,45433,2009,NA,NA,NA
"472","13175",100706,64365,1827572,2009,NA,NA,NA
"473","13177",24557,13333,357993,2009,NA,NA,NA
"474","13179",86994,50025,1379055,2009,NA,NA,NA
"475","13181",6845,3424,87776,2009,NA,NA,NA
"476","13183",2565,541,16370,2009,NA,NA,NA
"477","13185",265307,176541,4755292,2009,NA,NA,NA
"478","13187",30399,14413,419425,2009,NA,NA,NA
"479","13189",45106,20070,560473,2009,NA,NA,NA
"480","13191",9906,4935,98520,2009,NA,NA,NA
"481","13193",14901,6713,197002,2009,NA,NA,NA
"482","13195",16649,7596,194313,2009,NA,NA,NA
"483","13197",8532,2210,52635,2009,NA,NA,NA
"484","13199",22516,9680,288379,2009,NA,NA,NA
"485","13201",7636,2213,54408,2009,NA,NA,NA
"486","13205",48038,15307,379012,2009,NA,NA,NA
"487","13207",35268,20078,558485,2009,NA,NA,NA
"488","13209",8514,2409,82016,2009,NA,NA,NA
"489","13211",36018,17998,461790,2009,NA,NA,NA
"490","13213",55404,34279,1012172,2009,NA,NA,NA
"491","13215",529573,367241,11905226,2009,NA,NA,NA
"492","13217",115143,67973,2144036,2009,NA,NA,NA
"493","13219",54744,33975,1082502,2009,NA,NA,NA
"494","13221",7746,3974,97705,2009,NA,NA,NA
"495","13223",98671,69686,1817457,2009,NA,NA,NA
"496","13225",42495,18902,486095,2009,NA,NA,NA
"497","13227",40836,24252,681972,2009,NA,NA,NA
"498","13229",22512,11008,295330,2009,NA,NA,NA
"499","13231",11886,4413,111674,2009,NA,NA,NA
"500","13233",62903,32241,838927,2009,NA,NA,NA
"501","13235",12132,5192,141356,2009,NA,NA,NA
