"","FIPS","State","Year","Fentanyl_Total"
"169",19,"Iowa",2013,7
"170",20,"Kansas",2013,17
"171",21,"Kentucky",2013,25
"172",22,"Louisiana",2013,11
"173",23,"Maine",2013,2
"174",24,"Maryland",2013,60
"175",25,"Massachusetts",2013,35
"176",26,"Michigan",2013,26
"177",27,"Minnesota",2013,8
"178",28,"Mississippi",2013,25
"179",29,"Missouri",2013,36
"180",30,"Montana",2013,5
"181",31,"Nebraska",2013,6
"182",32,"Nevada",2013,3
"183",33,"New
Hampshire",2013,16
"184",34,"New Jersey",2013,15
"185",35,"New Mexico",2013,0
"186",36,"New York",2013,40
"187",37,"North
Carolina",2013,12
"188",38,"North Dakota",2013,9
"189",39,"Ohio",2013,111
"190",40,"Oklahoma",2013,18
"191",41,"Oregon",2013,8
"192",42,"Pennsylvania",2013,86
"193",44,"Rhode Island",2013,0
"194",45,"South
Carolina",2013,13
"195",46,"South Dakota",2013,1
"196",47,"Tennessee",2013,14
"197",48,"Texas",2013,16
"198",49,"Utah",2013,19
"199",50,"Vermont",2013,1
"200",51,"Virginia",2013,138
"201",53,"Washington",2013,12
"202",54,"West Virginia",2013,4
"203",55,"Wisconsin",2013,30
"204",56,"Wyoming",2013,7
"205",1,"Alabama",2014,27
"206",2,"Alaska",2014,4
"207",4,"Arizona",2014,6
"208",5,"Arkansas",2014,15
"209",6,"California",2014,59
"210",8,"Colorado",2014,14
"211",9,"Connecticut",2014,32
"212",10,"Delaware",2014,2
"213",11,"District of
Columbia",2014,8
"214",12,"Florida",2014,231
"215",13,"Georgia",2014,57
"216",15,"Hawaii",2014,0
"217",16,"Idaho",2014,10
"218",17,"Illinois",2014,69
"219",18,"Indiana",2014,135
"220",19,"Iowa",2014,6
"221",20,"Kansas",2014,19
"222",21,"Kentucky",2014,233
"223",22,"Louisiana",2014,15
"224",23,"Maine",2014,36
"225",24,"Maryland",2014,332
"226",25,"Massachusetts",2014,980
"227",26,"Michigan",2014,75
"228",27,"Minnesota",2014,2
"229",28,"Mississippi",2014,25
"230",29,"Missouri",2014,84
"231",30,"Montana",2014,9
"232",31,"Nebraska",2014,2
"233",32,"Nevada",2014,21
"234",33,"New
Hampshire",2014,227
"235",34,"New Jersey",2014,253
"236",35,"New Mexico",2014,5
"237",36,"New York",2014,165
"238",37,"North
Carolina",2014,33
"239",38,"North Dakota",2014,6
"240",39,"Ohio",2014,1355
"241",40,"Oklahoma",2014,14
"242",41,"Oregon",2014,11
"243",42,"Pennsylvania",2014,435
"244",44,"Rhode Island",2014,43
"245",45,"South
Carolina",2014,29
"246",46,"South Dakota",2014,2
"247",47,"Tennessee",2014,40
"248",48,"Texas",2014,34
"249",49,"Utah",2014,14
"250",50,"Vermont",2014,16
"251",51,"Virginia",2014,229
"252",53,"Washington",2014,15
"253",54,"West Virginia",2014,50
"254",55,"Wisconsin",2014,42
"255",56,"Wyoming",2014,5
"256",1,"Alabama",2015,98
"257",2,"Alaska",2015,1
"258",4,"Arizona",2015,30
"259",5,"Arkansas",2015,82
"260",6,"California",2015,94
"261",8,"Colorado",2015,18
"262",9,"Connecticut",2015,50
"263",10,"Delaware",2015,9
"264",11,"District of
Columbia",2015,6
"265",12,"Florida",2015,603
"266",13,"Georgia",2015,86
"267",15,"Hawaii",2015,37
"268",16,"Idaho",2015,16
"269",17,"Illinois",2015,426
"270",18,"Indiana",2015,243
"271",19,"Iowa",2015,42
"272",20,"Kansas",2015,18
"273",21,"Kentucky",2015,515
"274",22,"Louisiana",2015,31
"275",23,"Maine",2015,93
"276",24,"Maryland",2015,561
"277",25,"Massachusetts",2015,2846
"278",26,"Michigan",2015,268
"279",27,"Minnesota",2015,18
"280",28,"Mississippi",2015,24
"281",29,"Missouri",2015,298
"282",30,"Montana",2015,4
"283",31,"Nebraska",2015,1
"284",32,"Nevada",2015,10
"285",33,"New
Hampshire",2015,1139
"286",34,"New Jersey",2015,745
"287",35,"New Mexico",2015,4
"288",36,"New York",2015,365
"289",37,"North
Carolina",2015,41
"290",38,"North Dakota",2015,23
"291",39,"Ohio",2015,4021
"292",40,"Oklahoma",2015,18
"293",41,"Oregon",2015,30
"294",42,"Pennsylvania",2015,1096
"295",44,"Rhode Island",2015,180
"296",45,"South
Carolina",2015,118
"297",46,"South Dakota",2015,0
"298",47,"Tennessee",2015,130
"299",48,"Texas",2015,51
"300",49,"Utah",2015,20
"301",50,"Vermont",2015,54
"302",51,"Virginia",2015,556
"303",53,"Washington",2015,16
